palle ID,palle Name,Upabasti ID,Created On,Updated On
9020431095,phase 2,9020431095,07-Jan-21,07-Jan-21
9020432096,tngo s colony,9020432096,07-Jan-21,07-Jan-21
9020432097,ganesh nagar,9020432097,07-Jan-21,07-Jan-21
9020432098,auto stand sbi,9020432098,07-Jan-21,07-Jan-21
9020432099,apco colony,9020432099,07-Jan-21,07-Jan-21
9020433100,durganagar,9020433100,07-Jan-21,07-Jan-21
9020433101,Vinayak nagar,9020433101,07-Jan-21,07-Jan-21
9020433102,sikku basti,9020433102,07-Jan-21,07-Jan-21
9020434103,pallecheruvu,9020434103,07-Jan-21,07-Jan-21
9020535104,LAXMI GUDA,9020535104,07-Jan-21,07-Jan-21
9020535105,LAXMI GUDA RAJIV GRUHAKALPA,9020535105,07-Jan-21,07-Jan-21
9020535106,HOUSEING BOARD COLONY,9020535106,07-Jan-21,07-Jan-21
9020536107,VAMBAY COLONY,9020536107,07-Jan-21,07-Jan-21
9020536108,RAJIV GRUHAKALPA,9020536108,07-Jan-21,07-Jan-21
9020536109,PRAKASH NAGAR,9020536109,07-Jan-21,07-Jan-21
9020537110,PADMASHALIPURAM,9020537110,07-Jan-21,07-Jan-21
9020537111,SAI COLONY,9020537111,07-Jan-21,07-Jan-21
9020537112,MADHU BHAN COLONY,9020537112,07-Jan-21,07-Jan-21
9020538113,TULJA BHAVANI,9020538113,07-Jan-21,07-Jan-21
9020538114,KOTI VIDYALAYA,9020538114,07-Jan-21,07-Jan-21
9020539115,SRI RAMA,9020539115,07-Jan-21,07-Jan-21
9020539116,BRUNDHAVAN COLONY,9020539116,07-Jan-21,07-Jan-21
9020539117,SITHARAM NAGAR,9020539117,07-Jan-21,07-Jan-21
9020540118,MAMIDIPALLI,9020540118,07-Jan-21,07-Jan-21
9020540119,CISF QUATORS,9020540119,07-Jan-21,07-Jan-21
9020540120,JELPALLY,9020540120,07-Jan-21,07-Jan-21
9020641121,Venkateswara Colony,9020641121,07-Jan-21,07-Jan-21
9020641122,"NAARM,NIRD",9020641122,07-Jan-21,07-Jan-21
9020642123,Agriculture University,9020642123,07-Jan-21,07-Jan-21
9020642124,Bhavani Colony,9020642124,07-Jan-21,07-Jan-21
9020643125,SHIVARAMPALLI,9020643125,07-Jan-21,07-Jan-21
9020643126,Reddy Colony,9020643126,07-Jan-21,07-Jan-21
9020644127,Indrareddy Colony,9020644127,07-Jan-21,07-Jan-21
9020644128,Mahesh Vidya Bhavan,9020644128,07-Jan-21,07-Jan-21
