Basti ID,Basti  Name,Nagar ID,created on,updated on
8020221,SHANTHI NAGAR,80202,07-Jan-21,07-Jan-21
8020222,LALAGUDA RAILWAY QUARTERS,80202,07-Jan-21,07-Jan-21
8020223,LALAGUDA,80202,07-Jan-21,07-Jan-21
8020224,VIJYA PURI COLONY,80202,07-Jan-21,07-Jan-21
8020225,CHINTAL,80202,07-Jan-21,07-Jan-21
8020226,KIMTHI COLONY,80202,07-Jan-21,07-Jan-21
8020327,NEREDMET,80203,07-Jan-21,07-Jan-21
8020328,NEW VIDYANAGAR,80203,07-Jan-21,07-Jan-21
8020329,RAMAKRISHNAPURAM,80203,07-Jan-21,07-Jan-21
8020330,DEFENCE COLONY,80203,07-Jan-21,07-Jan-21
8020331,SAINIK PURI,80203,07-Jan-21,07-Jan-21
8020332,DEENDAYAL NAGAR,80203,07-Jan-21,07-Jan-21
8020333,OLD SAFILGUDA,80203,07-Jan-21,07-Jan-21
8020334,CHANDRAGIRI COLNY,80203,07-Jan-21,07-Jan-21
8020335,KRUPAACOMPLEX,80203,07-Jan-21,07-Jan-21
8020336,SAINATHA PURAM,80203,07-Jan-21,07-Jan-21
8020337,KAKATIYANAGAR,80203,07-Jan-21,07-Jan-21
8020438,BAJARANG NAGAR,80204,07-Jan-21,07-Jan-21
8020439,SHIVAJI NAGAR,80204,07-Jan-21,07-Jan-21
8020440,CHANDRAPURI,80204,07-Jan-21,07-Jan-21
8020441,MOHANRAO COLONY,80204,07-Jan-21,07-Jan-21
8020442,KALYAN PURI,80204,07-Jan-21,07-Jan-21
8020443,YAPRAL,80204,07-Jan-21,07-Jan-21
8020444,BHARATH NAGAR,80204,07-Jan-21,07-Jan-21
8020445,KOWKUR,80204,07-Jan-21,07-Jan-21
8020446,BJR NAGAR,80204,07-Jan-21,07-Jan-21
8020447,AMBEDKAR NAGAR,80204,07-Jan-21,07-Jan-21
8020448,CHENNAPURAM,80204,07-Jan-21,07-Jan-21
