Nagar ID,NAGARAM Name,Zilla ID,Created On,Updated On
90508,anjana pur,905,07-Jan-21,07-Jan-21
90608,anjana pur,906,07-Jan-21,07-Jan-21
90708,anjana pur,907,07-Jan-21,07-Jan-21
90309,hari nagar,903,07-Jan-21,07-Jan-21
90310,veera patnam,903,07-Jan-21,07-Jan-21
90311,shamsha bad,903,07-Jan-21,07-Jan-21
90401,Madannapet Nagar,904,07-Jan-21,07-Jan-21
90402,Shradhabad Nagar,904,07-Jan-21,07-Jan-21
90403,Malakpet Nagar,904,07-Jan-21,07-Jan-21
90404,Chaitanyapuri Nagar,904,07-Jan-21,07-Jan-21
90405,Ashtalaxmi Nagar,904,07-Jan-21,07-Jan-21
90406,Bandlaguda Nagar,904,07-Jan-21,07-Jan-21
90409,Hastinapur Nagar,904,07-Jan-21,07-Jan-21
90410,Meerpet Nagar,904,07-Jan-21,07-Jan-21
90411,Badangpet Nagar,904,07-Jan-21,07-Jan-21
90412,Saroornagar Nagar,904,07-Jan-21,07-Jan-21
90413,VV Nagar,904,07-Jan-21,07-Jan-21
90501,Ramanthapur,905,07-Jan-21,07-Jan-21
90502,Madhura Nagar,905,07-Jan-21,07-Jan-21
90503,Amberpet,905,07-Jan-21,07-Jan-21
90504,Gowliguda,905,07-Jan-21,07-Jan-21
90505,Narayanaguda,905,07-Jan-21,07-Jan-21
90506,Chikkadapally,905,07-Jan-21,07-Jan-21
90509,Viswa Vidyalay,905,07-Jan-21,07-Jan-21
