Basti / Upamandal ID,Basti / Upamandal Name,Nagar ID,Modified on,creaetd on
80510096,Taranagar,80510,19-Jan-21,19-Jan-21
80510097,Shivaji nagar,80510,19-Jan-21,19-Jan-21
80510098, Rail Vihar,80510,19-Jan-21,19-Jan-21
80510099,Gulmohar Park Colony,80510,19-Jan-21,19-Jan-21
80510100,Gopi Nagar,80510,19-Jan-21,19-Jan-21
80510101,Papireddy Nagar ,80510,19-Jan-21,19-Jan-21
80401001,OLD BOWENPALLY,80401,19-Jan-21,19-Jan-21
80401002,HASMATHPET,80401,19-Jan-21,19-Jan-21
80401003,NEW BOWENPALLY,80401,19-Jan-21,19-Jan-21
80401004,BHAVANA COLONY,80401,19-Jan-21,19-Jan-21
80401005,TAADBAND,80401,19-Jan-21,19-Jan-21
80401006,ICRISAT COLONY,80401,19-Jan-21,19-Jan-21
80401007,SIKH VILLAGE,80401,19-Jan-21,19-Jan-21
80401008,DIAMOND POINT,80401,19-Jan-21,19-Jan-21
80402009,INDIRA NAGAR,80402,19-Jan-21,19-Jan-21
80402010,GREEN FIELDS,80402,19-Jan-21,19-Jan-21
80402011,KAANAAJIGUDA,80402,19-Jan-21,19-Jan-21
80402012,SUBHASH NAGAR,80402,19-Jan-21,19-Jan-21
80402013,GUNROCK,80402,19-Jan-21,19-Jan-21
80403014,SUCHITRA,80403,19-Jan-21,19-Jan-21
80403015,JEEDIMETLA,80403,19-Jan-21,19-Jan-21
80403016,ANGADIPET,80403,19-Jan-21,19-Jan-21
80403017,NCL COLONY,80403,19-Jan-21,19-Jan-21
80403018,PRAJAY,80403,19-Jan-21,19-Jan-21
80403019,KOMPALLI,80403,19-Jan-21,19-Jan-21
80404020,MEDCHAL,80404,19-Jan-21,19-Jan-21
80404021,DABILPOOR,80404,19-Jan-21,19-Jan-21
80404022,SALEGUDEM,80404,19-Jan-21,19-Jan-21
80404023,POCHAM PALLI,80404,19-Jan-21,19-Jan-21
80405024,DUNDIGAL,80405,19-Jan-21,19-Jan-21
80405025,BORAMPET,80405,19-Jan-21,19-Jan-21
80405026,BAHADURPALLY,80405,19-Jan-21,19-Jan-21
80406027,RAJIV GRUHA KALPA       ,80406,19-Jan-21,19-Jan-21
80406028,SURARAM COLONY -1,80406,19-Jan-21,19-Jan-21
80406029,SURARAM COLONY -2,80406,19-Jan-21,19-Jan-21
80406030,SAIBABA NAGAR ,80406,19-Jan-21,19-Jan-21
80406031,BHAGATSING,80406,19-Jan-21,19-Jan-21
80406032,RAJIVA GANDHI NAGAR,80406,19-Jan-21,19-Jan-21
