104,Kotagiri ,9,06-Jan-21,06-Jan-21
105,Yedpalli ,9,06-Jan-21,06-Jan-21
106,Kandhakurthy,9,06-Jan-21,06-Jan-21
107,Nandipet,9,06-Jan-21,06-Jan-21
108,Balkonda,9,06-Jan-21,06-Jan-21
109,Kammar Palli,9,06-Jan-21,06-Jan-21
110,Bheemgal,9,06-Jan-21,06-Jan-21
111,Dharpally,9,06-Jan-21,06-Jan-21
112,Dichpalli,9,06-Jan-21,06-Jan-21
113,Mosra,9,06-Jan-21,06-Jan-21
114,Nirmal,10,06-Jan-21,06-Jan-21
115,Bhainsa,10,06-Jan-21,06-Jan-21
116,Basara,10,06-Jan-21,06-Jan-21
117,Kubeer,10,06-Jan-21,06-Jan-21
118,Kallur,10,06-Jan-21,06-Jan-21
119,Narsapur,10,06-Jan-21,06-Jan-21
120,Sarangapur,10,06-Jan-21,06-Jan-21
121,Laxmanachanda,10,06-Jan-21,06-Jan-21
122,Khanapur,10,06-Jan-21,06-Jan-21
123,Adilabad,11,06-Jan-21,06-Jan-21
124,Boath ,11,06-Jan-21,06-Jan-21
125,Ichoda ,11,06-Jan-21,06-Jan-21
126,Gudihathnoor,11,06-Jan-21,06-Jan-21
127,Utnoor,11,06-Jan-21,06-Jan-21
128,Thalamadugu,11,06-Jan-21,06-Jan-21
129,Jainath ,11,06-Jan-21,06-Jan-21
130,Manchiryala Nagara,12,06-Jan-21,06-Jan-21
131,Koutala Khnda,12,06-Jan-21,06-Jan-21
132,Bejjuru,12,06-Jan-21,06-Jan-21
133,Chennuru,12,06-Jan-21,06-Jan-21
134,Nennalakhanda,12,06-Jan-21,06-Jan-21
135,Mandhamarri Nagara/Khanda,12,06-Jan-21,06-Jan-21
136,Bellam Palli Nagara/Khanda,12,06-Jan-21,06-Jan-21
137,Lakshat Pet,12,06-Jan-21,06-Jan-21
138,Jainur,12,06-Jan-21,06-Jan-21
139,Kagaj Nagar Nagara/Khanda,12,06-Jan-21,06-Jan-21
140,Janagama,12,06-Jan-21,06-Jan-21
141,Peddapalli Nagara,13,06-Jan-21,06-Jan-21
142,Peddapalli Nagara/Khanda,13,06-Jan-21,06-Jan-21
143,Julapalli,13,06-Jan-21,06-Jan-21
144,Sukkalldevpalli,13,06-Jan-21,06-Jan-21
145,Kamanpur,13,06-Jan-21,06-Jan-21
146,Ramagundam,13,06-Jan-21,06-Jan-21
147,Mantani,13,06-Jan-21,06-Jan-21
148,Godhavarikhani Nagara,13,06-Jan-21,06-Jan-21
149,Jagityala,14,06-Jan-21,06-Jan-21
150,Jagityal Nagar,14,06-Jan-21,06-Jan-21
151,Metpalle,14,06-Jan-21,06-Jan-21
152,Kathlapur,14,06-Jan-21,06-Jan-21
153,Raikal,14,06-Jan-21,06-Jan-21
154,Dharmapuri,14,06-Jan-21,06-Jan-21
155,Gollapalle,14,06-Jan-21,06-Jan-21
156,Mallial,14,06-Jan-21,06-Jan-21
157,Metpalli,14,06-Jan-21,06-Jan-21
158,Korutla,14,06-Jan-21,06-Jan-21
159,Korutla Nagar,14,06-Jan-21,06-Jan-21
160,Karimnagar,15,06-Jan-21,06-Jan-21
161,Sircilla,15,06-Jan-21,06-Jan-21
162,Kothapally,15,06-Jan-21,06-Jan-21
163,Ramadugu,15,06-Jan-21,06-Jan-21
164,Jammikunta,15,06-Jan-21,06-Jan-21
165,Edulapuram,15,06-Jan-21,06-Jan-21
166,Manakondur,15,06-Jan-21,06-Jan-21
167,Timmapur,15,06-Jan-21,06-Jan-21
168,Illanthakunta,15,06-Jan-21,06-Jan-21
169,Musthabad,15,06-Jan-21,06-Jan-21
170,Vemulawada,15,06-Jan-21,06-Jan-21
171,Sircilla Nagar,15,06-Jan-21,06-Jan-21
172,Bhupala Pally Nagar,16,06-Jan-21,06-Jan-21
173,Mahadevpuram,16,06-Jan-21,06-Jan-21
174,Nugur Venkatapuram,16,06-Jan-21,06-Jan-21
175,Eaturunagaram,16,06-Jan-21,06-Jan-21
176,Medaram,16,06-Jan-21,06-Jan-21
177,Mulugu,16,06-Jan-21,06-Jan-21
178,Regonda,16,06-Jan-21,06-Jan-21
179,Chityala,16,06-Jan-21,06-Jan-21
180,Hanumakonda Nagar,17,06-Jan-21,06-Jan-21
181,Kazipet Nagar,17,06-Jan-21,06-Jan-21
182,Bhavani Nagar,17,06-Jan-21,06-Jan-21
183,Viswavidyalaya Nagar,17,06-Jan-21,06-Jan-21
184,Warangal Nagar,17,06-Jan-21,06-Jan-21
185,Kashibugga Nagar,17,06-Jan-21,06-Jan-21
186,Khila Nagar,17,06-Jan-21,06-Jan-21
187,Parakala Nagar,17,06-Jan-21,06-Jan-21
188,Athmakur,17,06-Jan-21,06-Jan-21
189,Geesugonda,17,06-Jan-21,06-Jan-21
190,Narsampeta Nagar,17,06-Jan-21,06-Jan-21
191,Parvatagiri,17,06-Jan-21,06-Jan-21
192,Wardannapeta,17,06-Jan-21,06-Jan-21
193,Janagama Nagar,18,06-Jan-21,06-Jan-21
194,Narmetta,18,06-Jan-21,06-Jan-21
195,Station Ghanapur,18,06-Jan-21,06-Jan-21
196,Raghunathapalli,18,06-Jan-21,06-Jan-21
197,Palakurthi,18,06-Jan-21,06-Jan-21
198,Lingala Ghanapuram,18,06-Jan-21,06-Jan-21
199,Manukota,19,06-Jan-21,06-Jan-21
200,Bayyaram ,19,06-Jan-21,06-Jan-21
201,Kothaguda,19,06-Jan-21,06-Jan-21
202,Guduru,19,06-Jan-21,06-Jan-21
203,Kesamudram,19,06-Jan-21,06-Jan-21
204,Thorrur,19,06-Jan-21,06-Jan-21
205,Maripeda,19,06-Jan-21,06-Jan-21
206,Dornakal,19,06-Jan-21,06-Jan-21
207,Khammam Nagar,20,06-Jan-21,06-Jan-21
208,Sattupalli Nagar,20,06-Jan-21,06-Jan-21
209,Aswaraopeta,20,06-Jan-21,06-Jan-21
210,Sathupalli,20,06-Jan-21,06-Jan-21
