Basti ID,Basti  Name,Nagar ID,Created On,Modified On
80202021,SHANTHI NAGAR,80202,08-Jan-21,08-Jan-21
80202022,LALAGUDA RAILWAY QUARTERS,80202,08-Jan-21,08-Jan-21
80202023,LALAGUDA,80202,08-Jan-21,08-Jan-21
80202024,VIJYA PURI COLONY,80202,08-Jan-21,08-Jan-21
80202025,CHINTAL,80202,08-Jan-21,08-Jan-21
80202026,KIMTHI COLONY,80202,08-Jan-21,08-Jan-21
80203027,NEREDMET,80203,08-Jan-21,08-Jan-21
80203028,NEW VIDYANAGAR,80203,08-Jan-21,08-Jan-21
80203029,RAMAKRISHNAPURAM,80203,08-Jan-21,08-Jan-21
80203030,DEFENCE COLONY,80203,08-Jan-21,08-Jan-21
80203031,SAINIK PURI,80203,08-Jan-21,08-Jan-21
80203032,DEENDAYAL NAGAR,80203,08-Jan-21,08-Jan-21
80203033,OLD SAFILGUDA,80203,08-Jan-21,08-Jan-21
80203034,CHANDRAGIRI COLNY,80203,08-Jan-21,08-Jan-21
80203035,KRUPAACOMPLEX,80203,08-Jan-21,08-Jan-21
80203036,SAINATHA PURAM,80203,08-Jan-21,08-Jan-21
80203037,KAKATIYANAGAR,80203,08-Jan-21,08-Jan-21
80204038,BAJARANG NAGAR,80204,08-Jan-21,08-Jan-21
80204039,SHIVAJI NAGAR,80204,08-Jan-21,08-Jan-21
80204040,CHANDRAPURI,80204,08-Jan-21,08-Jan-21
80204041,MOHANRAO COLONY,80204,08-Jan-21,08-Jan-21
80204042,KALYAN PURI,80204,08-Jan-21,08-Jan-21
80204043,YAPRAL,80204,08-Jan-21,08-Jan-21
80204044,BHARATH NAGAR,80204,08-Jan-21,08-Jan-21
80204045,KOWKUR,80204,08-Jan-21,08-Jan-21
80204046,BJR NAGAR,80204,08-Jan-21,08-Jan-21
80204047,AMBEDKAR NAGAR,80204,08-Jan-21,08-Jan-21
80204048,CHENNAPURAM,80204,08-Jan-21,08-Jan-21
80204049,GABBILALAPET,80204,08-Jan-21,08-Jan-21
80204050,CRPF,80204,08-Jan-21,08-Jan-21
80205051,Chakripuram,80205,08-Jan-21,08-Jan-21
80205052,Nagarjuna Nagar Colony,80205,08-Jan-21,08-Jan-21
80205053,Sai Nagar,80205,08-Jan-21,08-Jan-21
80205054,Kushaiguda,80205,08-Jan-21,08-Jan-21
80205055,Jammigadda,80205,08-Jan-21,08-Jan-21
80205056,Yellareddy Guda,80205,08-Jan-21,08-Jan-21
80205057,Kapra,80205,08-Jan-21,08-Jan-21
80205058,Srinivasa Nagar,80205,08-Jan-21,08-Jan-21
80205059,Netheji Nagar,80205,08-Jan-21,08-Jan-21
80205060,AS Rao Nagar,80205,08-Jan-21,08-Jan-21
80205061,Gandhi Nagar,80205,08-Jan-21,08-Jan-21
80205062,Gayathri Nagar,80205,08-Jan-21,08-Jan-21
80205063,Kamala Nagar,80205,08-Jan-21,08-Jan-21
80205064,Lakshmi Nagar,80205,08-Jan-21,08-Jan-21
80205065,Kailasagiri,80205,08-Jan-21,08-Jan-21
80205066,HB Colony,80205,08-Jan-21,08-Jan-21
80205067,Thirumala Nagar,80205,08-Jan-21,08-Jan-21
80205068,Ashok nagar,80205,08-Jan-21,08-Jan-21
80205069,EC Nagar,80205,08-Jan-21,08-Jan-21
80205070,Cherlapalli,80205,08-Jan-21,08-Jan-21
80206071,NAGARAM,80206,08-Jan-21,08-Jan-21
80206072,SATYANARAYANA NAGAR,80206,08-Jan-21,08-Jan-21
80206073,EAST GANDI NAGAR,80206,08-Jan-21,08-Jan-21
80206074,SV NAGAR,80206,08-Jan-21,08-Jan-21
80206075,RAMALINGESWARANAGAR,80206,08-Jan-21,08-Jan-21
80206076,VIVEKANANDA COLONY,80206,08-Jan-21,08-Jan-21
80206077,SAINAGAR,80206,08-Jan-21,08-Jan-21
80206078,DHAMMAI GUDA,80206,08-Jan-21,08-Jan-21
80206079,PS RAO NAGAR,80206,08-Jan-21,08-Jan-21
80206080,SHIVANANDAPURI COLONY,80206,08-Jan-21,08-Jan-21
80207081,KEESARA,80207,08-Jan-21,08-Jan-21
80207082,RAMPALLI,80207,08-Jan-21,08-Jan-21
80207083,CHEERYAL,80207,08-Jan-21,08-Jan-21
80301001,SHIVAJI NAGAR,80301,08-Jan-21,08-Jan-21
80301002,MARUTHI VEEDHI,80301,08-Jan-21,08-Jan-21
80301003,JEERA,80301,08-Jan-21,08-Jan-21
80301004,REZIMENTAL BAZAR,80301,08-Jan-21,08-Jan-21
80301005,VYDIC NAGAR,80301,08-Jan-21,08-Jan-21
80301006,RANIGUNJ,80301,08-Jan-21,08-Jan-21
80301007,OLD GHASMANDI,80301,08-Jan-21,08-Jan-21
80301008,OLD BHOIGUDA,80301,08-Jan-21,08-Jan-21
80301009,PAN BAZAAR,80301,08-Jan-21,08-Jan-21
80301010,NALLAGUTTA,80301,08-Jan-21,08-Jan-21
80301011,PG ROAD,80301,08-Jan-21,08-Jan-21
80301012,KALASIGUDA,80301,08-Jan-21,08-Jan-21
80301013,AVULAMANDA,80301,08-Jan-21,08-Jan-21
80301014,AUDIAIAH NAGAR,80301,08-Jan-21,08-Jan-21
80302015,WARASIGUDA,80302,08-Jan-21,08-Jan-21
80302016,SRINIVASA NAGAR,80302,08-Jan-21,08-Jan-21
80302017,SEETHAFALMANDI,80302,08-Jan-21,08-Jan-21
80302018,PADMARAO NAGAR,80302,08-Jan-21,08-Jan-21
80302019,NAMALAGUNDU,80302,08-Jan-21,08-Jan-21
80302020,MYLARGADDA,80302,08-Jan-21,08-Jan-21
80302021,METTUGUDA,80302,08-Jan-21,08-Jan-21
80302022,MEDIBAI (Warasiguda),80302,08-Jan-21,08-Jan-21
