Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80404022086,GOSHIGUDA,80404022086,08-Jan-21,08-Jan-21
80404022087,RAJABOLLARAM TAANDA,80404022087,08-Jan-21,08-Jan-21
80404022088,Akbarjapet,80404022088,08-Jan-21,08-Jan-21
80404022089,RAVALKOL TANDA,80404022089,08-Jan-21,08-Jan-21
80404022090,MURARIPALLI,80404022090,08-Jan-21,08-Jan-21
80404023091,GUDLAPOCHAMPALLI,80404023091,08-Jan-21,08-Jan-21
80404023092,KANDLAKOYA,80404023092,08-Jan-21,08-Jan-21
80404023093,SRIRANGAVARAM,80404023093,08-Jan-21,08-Jan-21
80404023094,MAISAMMA GUDA,80404023094,08-Jan-21,08-Jan-21
80404023095,SUTHARI GUDEM,80404023095,08-Jan-21,08-Jan-21
80404023096,BASARAAGADI,80404023096,08-Jan-21,08-Jan-21
80404023097,BANDAMADARAM,80404023097,08-Jan-21,08-Jan-21
80404023098,RAYILAPOOR,80404023098,08-Jan-21,08-Jan-21
80404023099,GOUDAVELLI,80404023099,08-Jan-21,08-Jan-21
80404024100,DUNDIGAL,80404024100,08-Jan-21,08-Jan-21
80404024101,GAGILLAPUR,80404024101,08-Jan-21,08-Jan-21
80404024102,D.POCHAMPALLI,80404024102,08-Jan-21,08-Jan-21
80404024103,NAAGLUR,80404024103,08-Jan-21,08-Jan-21
80404024104,DUNDIGAL TAANDA-1,80404024104,08-Jan-21,08-Jan-21
80404024105,DUNDIGAL TAANDA-2,80404024105,08-Jan-21,08-Jan-21
80404024106,CHARCH GAGILLAPUR,80404024106,08-Jan-21,08-Jan-21
80404024107,SAREGUDAM,80404024107,08-Jan-21,08-Jan-21
80404024108,SRIRAM NAGAR,80404024108,08-Jan-21,08-Jan-21
80404024109,GANDI MAISAMMA,80404024109,08-Jan-21,08-Jan-21
80404025110,BORAMPET,80404025110,08-Jan-21,08-Jan-21
80404025111,MALLAMPET,80404025111,08-Jan-21,08-Jan-21
80404025112,BACHUPALLY,80404025112,08-Jan-21,08-Jan-21
80404025113,SHAMBIPUR,80404025113,08-Jan-21,08-Jan-21
80404025114,INDRAMMA COLONY,80404025114,08-Jan-21,08-Jan-21
80404025115,MAHESHWARAM,80404025115,08-Jan-21,08-Jan-21
80404025116,RAJIVA GRUHA KALPA,80404025116,08-Jan-21,08-Jan-21
80404025117,RAJIVA GANDHINAGAR,80404025117,08-Jan-21,08-Jan-21
80404025118,INDIRANAGAR,80404025118,08-Jan-21,08-Jan-21
80404025119,SAINAGAR,80404025119,08-Jan-21,08-Jan-21
80404026120,BAHADURPALLY,80404026120,08-Jan-21,08-Jan-21
80404026121,INDRAMMA COLONY,80404026121,08-Jan-21,08-Jan-21
80404026122,DHULAPALLY,80404026122,08-Jan-21,08-Jan-21
80405027123,RAJIV GRUHA KALPA       ,80405027123,08-Jan-21,08-Jan-21
80405027124,60 YARDS,80405027124,08-Jan-21,08-Jan-21
80405027125,SIDHARTH NAGAR,80405027125,08-Jan-21,08-Jan-21
80405028126,WEEKAR SECTION,80405028126,08-Jan-21,08-Jan-21
